user_login,repo_name,repo_url,created_at,updated_at,forks_count,stargazers_count,language
REMitchell,ddt_workshop_2024,https://github.com/REMitchell/ddt_workshop_2024,2024-01-26T14:43:02Z,2024-08-05T18:22:44Z,2,3,Jupyter Notebook
REMitchell,gbfb,https://github.com/REMitchell/gbfb,2018-08-20T02:04:26Z,2021-05-23T21:52:44Z,2,5,Python
REMitchell,Javasaur,https://github.com/REMitchell/Javasaur,2011-05-03T12:25:51Z,2021-05-23T21:52:22Z,0,2,JavaScript
REMitchell,jeopardy-scraper,https://github.com/REMitchell/jeopardy-scraper,2018-11-03T15:12:53Z,2024-10-04T00:09:18Z,2,3,Jupyter Notebook
REMitchell,jeopardy-trainer,https://github.com/REMitchell/jeopardy-trainer,2018-11-21T19:17:38Z,2023-12-30T02:34:36Z,3,2,Python
REMitchell,jeopardyStats,https://github.com/REMitchell/jeopardyStats,2016-05-16T20:59:36Z,2021-05-23T21:52:53Z,3,1,Java
REMitchell,mhn,https://github.com/REMitchell/mhn,2018-07-26T21:02:47Z,2024-04-06T22:35:00Z,0,2,Shell
REMitchell,Music-Web,https://github.com/REMitchell/Music-Web,2011-04-20T17:03:45Z,2021-05-23T21:52:24Z,0,2,JavaScript
REMitchell,pacman,https://github.com/REMitchell/pacman,2018-10-10T03:11:44Z,2021-05-23T21:52:43Z,0,1,JavaScript
REMitchell,PyLadies-webscraping,https://github.com/REMitchell/PyLadies-webscraping,2015-09-13T07:09:34Z,2024-06-18T02:55:32Z,8,11,Python
REMitchell,pytesseract,https://github.com/REMitchell/pytesseract,2018-01-14T04:26:14Z,2024-10-04T00:04:25Z,3,3,Python
REMitchell,python-crawling,https://github.com/REMitchell/python-crawling,2015-10-07T01:57:09Z,2024-09-07T04:23:25Z,36,41,JavaScript
REMitchell,python-for-non-programmers,https://github.com/REMitchell/python-for-non-programmers,2023-01-24T01:20:53Z,2024-05-09T12:57:37Z,1,1,Python
REMitchell,python-meetup,https://github.com/REMitchell/python-meetup,2023-11-28T20:23:16Z,2024-05-09T12:57:33Z,1,3,Jupyter Notebook
REMitchell,python-scraping,https://github.com/REMitchell/python-scraping,2015-06-14T15:32:58Z,2024-10-27T06:00:07Z,2480,4410,Jupyter Notebook
